YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1995,16.7,19.2,14.3,19.2,36.2,83.6,122,173.9,131.9,76.9,25.1,25,69.7,379.5,233.9,45.1,743.9
1996,13,7.1,8.8,20.5,35,107.8,106.1,159.8,117.5,89.9,25.4,13.4,64.3,373.7,232.7,47.8,704.3
1997,18.7,15.8,25.6,40.3,46.8,82.5,91.8,92.6,119.1,89.2,55.1,31.6,112.6,266.9,263.5,61,709
1998,11.2,18.2,10.8,6.6,14.8,68.3,120.2,137.1,203.6,108.7,58,10.4,32.2,325.6,370.3,21.7,767.9
1999,6,5.3,9.3,8.9,25.1,133.8,169.3,132.3,149.5,94,16.9,17.8,43.3,435.3,260.4,34.2,768.2
2000,9.7,6.7,13.6,10.8,62.1,128.9,84.9,122.1,124.5,92,31.4,13.9,86.5,335.9,247.9,46,700.6
2001,14,18,22.6,21.6,46.7,79,116.1,113.4,133.6,67.1,23.6,19.9,91,308.5,224.4,56.3,675.7
2002,13.4,23.1,7.5,8.5,34.7,97.6,114.4,88.3,167.4,99.9,41.7,23.9,50.8,300.3,308.9,54.7,720.4
2003,12.1,18.7,13.5,15.3,30.8,116.9,111,125.6,168.6,103.7,35.4,14.3,59.5,353.4,307.7,67.6,765.7
2004,39.8,13.5,28.5,27.4,64.5,107.6,116.2,106.8,164,110.8,21.5,13,120.3,330.6,296.3,61.1,813.6
2005,21.7,26.4,12.7,13.1,48.3,76.1,135.3,133.4,108.8,102.3,20.5,12.7,74.1,344.9,231.5,38.6,711.3
2006,18.8,7.1,10.6,12,64.7,86.7,140.7,150.4,148.7,98,30.9,26.6,87.2,377.9,277.7,77.8,795.3
2007,33.5,17.7,9.9,13.2,42.7,103.3,138.6,151.6,141.2,75.6,22.2,13.9,65.8,393.5,239,37.7,763.4
2008,12.2,11.5,12,19.8,34.8,103.3,163.9,157.9,155.6,84.1,10.9,9.5,66.6,425.1,250.6,33.2,775.6
2009,13.8,9.9,9.9,9.2,44.5,109.9,80.4,99.1,142.3,88.3,32.4,32.2,63.5,289.4,263,89.9,671.9
2010,31.6,26,7.3,25,39.2,91.1,211.6,148.9,179.7,20,11.7,9.3,71.6,451.6,211.4,31.2,801.4
2011,11.4,10.6,10.4,11.5,18.3,100.4,160.8,135,100.7,74.6,32.2,20.4,40.2,396.2,207.5,63.7,686.2
2012,15.8,27.6,12,15.9,38.3,96.2,125.2,145.3,121.5,60,25,17.9,66.2,366.7,206.5,50.6,700.7
2013,23.7,9,9.4,11.8,48.8,101.5,151.1,133.4,215.5,101.9,58.1,37.8,70,386,375.5,61.6,902
2014,14.6,9.2,16.8,13.5,67.9,128.8,94.5,138.2,186,110.6,42.4,19.7,98.2,361.4,339,65.1,842.1
2015,26.5,18.9,29.7,24,50.7,97.7,101.9,95,125.5,98.1,49.4,28.5,104.5,294.6,273,59.4,746
2016,23.7,7.2,22.8,18,39.8,112.5,127.1,171.5,130.9,54.4,35.7,35.6,80.7,411.1,221.1,63.5,779.3
2017,15.2,12.8,22,17.1,46.4,112,128.2,150.3,166.6,67.6,13.1,24.5,85.5,390.6,247.4,65.1,775.9
2018,24.6,16,11.3,26.2,36.6,117.9,71.7,120.1,160.4,109.6,44.3,25.8,74.2,309.7,314.3,57.5,764.6
2019,20.9,10.8,10.2,14,37.7,92.4,89.5,110,141.7,117,42.8,23.6,61.9,291.9,301.5,66.9,710.6
2020,22.9,20.4,13,15.3,47.9,97.1,117.1,126.2,133.5,44.8,29.4,13.1,76.1,340.4,207.7,52.1,680.6
2021,26.3,12.7,8.6,13.4,57.3,134.2,128.8,164.4,147.1,79.7,20.6,20.4,79.2,427.4,247.3,47.6,813.4
2022,14.6,12.5,7.9,18.8,37.8,101.4,94.5,143.8,168.5,64,48.6,20,64.5,339.7,281.1,39.8,732.6
2023,10.6,9.2,19.3,19.7,34.3,59.8,114.1,125.2,83.5,81.8,35,28.9,73.3,299.1,200.3,-999,621.4
